index,subject,image
51,https://resource.swissartresearch.net/artwork/SFF_D_1020,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1020
52,https://resource.swissartresearch.net/artwork/SFF_D_1021,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1021
53,https://resource.swissartresearch.net/artwork/SFF_D_1022,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1022
54,https://resource.swissartresearch.net/artwork/SFF_D_1023,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1023
55,https://resource.swissartresearch.net/artwork/SFF_D_1024,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1024
56,https://resource.swissartresearch.net/artwork/SFF_D_1025,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1025
57,https://resource.swissartresearch.net/artwork/SFF_D_1026,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1026
58,https://resource.swissartresearch.net/artwork/SFF_D_1027,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1027
59,https://resource.swissartresearch.net/artwork/SFF_D_1028,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1028
60,https://resource.swissartresearch.net/artwork/SFF_D_1029,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1029
61,https://resource.swissartresearch.net/artwork/SFF_D_1030,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1030
62,https://resource.swissartresearch.net/artwork/SFF_D_1031,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1031
63,https://resource.swissartresearch.net/artwork/SFF_D_1032,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1032
64,https://resource.swissartresearch.net/artwork/SFF_D_1033,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1033
65,https://resource.swissartresearch.net/artwork/SFF_D_1034,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1034
66,https://resource.swissartresearch.net/artwork/SFF_D_1035,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1035
67,https://resource.swissartresearch.net/artwork/SFF_D_1036,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1036
68,https://resource.swissartresearch.net/artwork/SFF_D_1037,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1037
69,https://resource.swissartresearch.net/artwork/SFF_D_1038,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1038
70,https://resource.swissartresearch.net/artwork/SFF_D_1039,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1039
71,https://resource.swissartresearch.net/artwork/SFF_D_1040,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1040
72,https://resource.swissartresearch.net/artwork/SFF_D_1041,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1041
73,https://resource.swissartresearch.net/artwork/SFF_D_1042,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1042
74,https://resource.swissartresearch.net/artwork/SFF_D_1043,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1043
75,https://resource.swissartresearch.net/artwork/SFF_D_1044,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1044
76,https://resource.swissartresearch.net/artwork/SFF_D_1045,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1045
77,https://resource.swissartresearch.net/artwork/SFF_D_1046,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1046
78,https://resource.swissartresearch.net/artwork/SFF_D_1047,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1047
79,https://resource.swissartresearch.net/artwork/SFF_D_1048,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1048
80,https://resource.swissartresearch.net/artwork/SFF_D_1049,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1049
81,https://resource.swissartresearch.net/artwork/SFF_D_1050,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1050
82,https://resource.swissartresearch.net/artwork/SFF_D_1051,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1051
83,https://resource.swissartresearch.net/artwork/SFF_D_1052,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1052
84,https://resource.swissartresearch.net/artwork/SFF_D_1053,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1053
85,https://resource.swissartresearch.net/artwork/SFF_D_1054,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1054
86,https://resource.swissartresearch.net/artwork/SFF_D_1055,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1055
87,https://resource.swissartresearch.net/artwork/SFF_D_1056,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1056
88,https://resource.swissartresearch.net/artwork/SFF_D_1057,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1057
89,https://resource.swissartresearch.net/artwork/SFF_D_1058,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1058
90,https://resource.swissartresearch.net/artwork/SFF_D_1059,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1059
91,https://resource.swissartresearch.net/artwork/SFF_D_1060,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1060
92,https://resource.swissartresearch.net/artwork/SFF_D_1061,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1061
93,https://resource.swissartresearch.net/artwork/SFF_D_1062,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1062
94,https://resource.swissartresearch.net/artwork/SFF_D_1063,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1063
95,https://resource.swissartresearch.net/artwork/SFF_D_1064,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1064
96,https://resource.swissartresearch.net/artwork/SFF_D_1065,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1065
97,https://resource.swissartresearch.net/artwork/SFF_D_1066,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1066
98,https://resource.swissartresearch.net/artwork/SFF_D_1067,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1067
99,https://resource.swissartresearch.net/artwork/SFF_D_1068,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1068
100,https://resource.swissartresearch.net/artwork/SFF_D_1069,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1069
